企业名称,股票代码,旧名称,登记状态,注册资本,参保人数,参保人数所属年报,通信地址,统一社会信用代码,企业规模,成立日期,所属省份,所属城市,所属区县,邮箱,更多邮箱,注册号,纳税人资质,企业（机构）类型,国标行业门类,国标行业大类,国标行业中类,国标行业小类,企查查行业门类,企查查行业大类,企查查行业中类,企查查行业小类,企业地址,曾用名,英文名,经营范围
京能置业股份有限公司,SH600791,京能置业股份有限公司,存续,45288万元人民币,147,2022年报,-,91110000214406620R,L(大型),1997-04-01,北京市,北京市,西城区,710980671@qq.com,fengna@beih-zy.com,110000007977747,一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,北京市西城区复兴门南大街2号甲天银大厦A西八层,"贵州华联旅业（集团）股份有限公司,
贵州华联（集团）股份有限公司","BEH-PROPERTY Co., Ltd.",房地产开发；房地产信息咨询；投资顾问；销售商品房；高科技项目投资；房屋租赁。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
海航投资集团股份有限公司,SZ000616,海航投资集团股份有限公司,存续,143023.4425万元人民币,127,2022年报,海南省海口市美兰区国兴大道 7 号新海航大厦19层,91210200241278804K,M(中型),1993-05-27,辽宁省,大连市,中山区,hhtz@hnair.com,jy-wei@hnair.com;htgf@hnair.com;fanlei@hnair.com;ir@yeland.com.cn,210200000261664,一般纳税人,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,住宅开发,-,辽宁省大连市中山区长江路123号长江写字楼2129,"亿城投资集团股份有限公司,
亿城集团股份有限公司,
大连亿城集团股份有限公司,
大连渤海饭店（集团）股份有限公司","HNA Investment Group Co., Ltd.",项目投资及管理、投资咨询。（ 依法须经批准的项目，经相关部门批准后，方可开展经营活动）
格力地产股份有限公司,SH600185,格力地产股份有限公司,在业,188500.5795万元人民币,29,2022年报,-,91440400628053925E,L(大型),1999-06-09,广东省,珠海市,香洲区,gldc@greedc.com,-,610131100018386,增值税一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,-,-,房地产,房地产开发,住宅开发,-,珠海市横琴新区环岛东路3000号2103办公,"西安格力地产股份有限公司,
西安海星现代科技股份有限公司","Gree Real Estate Co., Ltd.",章程记载的经营范围：实业投资、资产经营、房地产开发经营、物业管理、国内贸易（除专项规定外）、建筑材料的批发、零售、代购代销。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
北京北辰实业股份有限公司,SH601588,北京北辰实业股份有限公司,存续,336702万元人民币,3322,2022年报,-,91110000633791930G,L(大型),1998-10-09,北京市,北京市,朝阳区,northstar@beijingns.com.cn,-,110000410131502,增值税一般纳税人,股份有限公司（台港澳与境内合资、上市）,房地产业,房地产业,物业管理,物业管理,房地产,房地产开发,住宅开发,-,北京市朝阳区北辰东路8号,-,Beijing North Star Company Limited,物业管理；出租写字间、公寓、客房；住宿服务；房地产开发、建设、物业购置及商品房销售；承接国际国内会议、出租展览场地及设施、提供会务服务，出租出售批发零售商业用、餐饮娱乐业用场地及设施；餐饮服务、文体娱乐服务（国家禁止的项目除外）；机械电器设备、激光、电子方面的技术开发、技术服务、技术转让，设备安装，机械设备、清洗设备维修，日用品修理，美容美发，浴池服务，摄录像服务，打字、复印类商务服务，仓储服务，信息咨询；商业零售（包括代销、寄售）：百货、针纺织品、五金交电、金银首饰、家具、字画、副食品、食品、粮油食品、汽车配件、宠物食品、电子计算机、公开发行的国内版电子出版物、计生用品、防盗保险柜、摩托车、西药制剂、中成药、医疗器械；刻字服务；修理钟表、家用电器；验光配镜服务；饮食服务；健康咨询；机动车公共停车场；承办展览展示活动；设备租赁；公司礼仪服务；游泳；体育场馆管理；技术服务；组织文化艺术交流活动；文化艺术咨询；互联网信息服务；以下限分支机构经营：出租、零售音像磁带制品、图书、期刊、电子出版物；零售卷烟、雪茄烟；服装加工。（市场主体依法自主选择经营项目，开展经营活动；“互联网信息服务”、“游泳”以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
中交地产股份有限公司,SZ000736,中交地产股份有限公司,存续,69543.3689万元人民币,4,2022年报,北京市西城区德胜门外大街13号院1号楼合生财富广场12层,915000002028133840,L(大型),1993-02-03,重庆市,重庆市,江北区,zhangyaxin@cccgrealeatate.com,zhangyaxin@cccgrealestate.com;zhangyaxin@zfrealestate.com,500000000006873,增值税一般纳税人,股份有限公司（上市公司）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,重庆市江北区观音桥建新北路86号,"中房地产股份有限公司,
中房重实地产股份有限公司,
重庆国际实业投资股份有限公司",CCCG Real Estate Corporation Limited,"一般项目：从事房地产开发经营业务，实业投资,物业管理,高科技开发,设备租赁,代理各类商品及技术的进出口业务（国家限定公司经营或禁止进出口的商品及技术除外）,国际经济技术合作的往来函调查及咨询服务;销售矿产品（不含国家规定产品）,化工产品、建筑材料、装饰材料（以上不含危险化学品）,汽车（不含九座及九座以下乘用车）,摩托车及零部件,五金,交电,木材,钢材,日用百货,纺织品,工艺美术品（不含金银饰品）.中小型水、火力发电成套设备的开发、制造、销售及技术咨询服务（国家有专项管理规定的除外）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
江苏凤凰置业投资股份有限公司,SH600716,江苏凤凰置业投资股份有限公司,在业,93606.059万元人民币,26,2022年报,-,91320000104363033C,S(小型),1996-06-24,江苏省,南京市,鼓楼区,fhzy@ppm.cn,ykai666@126.com,320000000108232,增值税一般纳税人,股份有限公司（上市）,金融业,资本市场服务,其他资本市场服务,其他资本市场服务,房地产,房地产开发,住宅开发,-,南京市中央路389号凤凰国际大厦六楼,秦皇岛耀华玻璃股份有限公司,Jiangsu Phoenix Property Investment Company Limited,房地产投资，实业投资，房屋租赁，物业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
湖北福星科技股份有限公司,SZ000926,湖北福星科技股份有限公司,存续,113847.5688万元人民币,4,2022年报,湖北省武汉市江汉区新华路186号福星国际商会大厦27楼,914200007069595043,L(大型),1993-06-08,湖北省,孝感市,汉川市,fxjtbgs808@126.com,fxkj0926@chinafxkj.com;fxkj926@chinafxkj.com;china-fxst@263.net,420000000029014,增值税一般纳税人,股份有限公司（上市、外商投资企业投资）,房地产业,房地产业,房地产租赁经营,房地产租赁经营,房地产,房地产开发,住宅开发,-,湖北省汉川市沉湖镇福星街1号,湖北省汉川钢丝绳股份有限公司,"HuBei Fuxing Science and Technology Co., Ltd.",房地产开发、经营、管理；物业管理及租赁；高新技术的开发与高新技术项目投资。（涉及许可经营项目，应取得相关部门许可后方可经营）
上海市北高新股份有限公司,SH600604,上海市北高新股份有限公司,存续,187330.4804万元人民币,98,2022年报,上海市江场三路262号,913100006072255050,L(大型),1993-11-10,上海市,上海市,静安区,zhengquan@shibei.com,-,310000400065302,增值税一般纳税人,股份有限公司（台港澳与境内合资、上市）,租赁和商务服务业,商务服务业,咨询与调查,其他专业咨询与调查,房地产,房地产开发,产业地产,-,上海市静安区共和新路3088弄2号1008室,上海二纺机股份有限公司,"Shanghai Shibei Hi-tech Co., Ltd.",企业管理咨询，投资管理咨询，商务信息咨询，会展服务（主办、承办除外），建筑规划方案咨询；物业管理；建筑装饰材料的批发、佣金代理（拍卖除外）（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
四川蓝光发展股份有限公司,SH600466,四川蓝光发展股份有限公司,存续,303493.0435万元人民币,1,2022年报,-,915101007092429550,L(大型),1993-05-18,四川省,成都市,郫都区,crm@brc.com.cn,313832917@qq.com;wujianwen@brc.com.cn,510109000056757,增值税一般纳税人,其他股份有限公司（非上市）,租赁和商务服务业,商务服务业,组织管理服务,其他组织管理服务,房地产,房地产开发,住宅开发,-,成都高新区（西区）西芯大道9号,四川迪康科技药业股份有限公司,"Sichuan Languang Development Co., Ltd.",投资及投资管理；企业策划、咨询服务；企业管理；房地产投资；房地产开发经营；土地整理；商业资产投资、经营；自有房屋租赁；资产管理；物业管理；生物科技技术产品研究、开发、生产（限分支机构在工业园区内经营）；技术咨询服务和技术转让；技术及货物进出口业务（国家禁止或涉及行政审批的货物和技术进出口除外）；电子商务（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
天津津投城市开发股份有限公司,SH600322,天津市房地产发展(集团)股份有限公司,存续,110570万元人民币,140,2022年报,-,91120000103064779N,L(大型),1993-02-25,天津市,天津市,和平区,tffz@sina.com,-,120000000001594,增值税一般纳税人,股份有限公司（上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,和平区常德道80号,天津市房地产发展（集团）股份有限公司,"Tianjin Jintou Urban Development Co., Ltd.",房地产开发及商品房销售、自有房屋租赁、房地产信息咨询、中介服务；商品房代理销售；房屋置换；以下限分支机构经营：物业管理；建筑设计、咨询；金属材料、建筑材料批发；工程项目管理及咨询服务（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）。
绿景控股股份有限公司,SZ000502,绿景控股股份有限公司,在业,18481.9607万元人民币,13,2022年报,-,91440000201285073K,M(中型),1989-09-18,广东省,广州市,海珠区,lvj@000502.cn,-,440000000006561,-,股份有限公司（上市、自然人投资或控股）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产服务,物业管理,-,广东省广州市海珠区同福西路131-133号首层01房,"绿景地产股份有限公司,
恒大地产股份有限公司,
海南新能源股份有限公司","Lvjing Holding Co., Ltd.",一般项目：以自有资金从事投资活动；自有资金投资的资产管理服务；信息系统集成服务；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；数据处理和存储支持服务；工业互联网数据服务；数据处理服务；信息系统运行维护服务；网络技术服务；云计算装备技术服务；物联网应用服务；物联网技术服务；电子、机械设备维护（不含特种设备）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：第一类增值电信业务；互联网信息服务；建筑智能化系统设计；安全系统监控服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
深圳经济特区房地产（集团）股份有限公司,SZ000029,深圳经济特区房地产(集团)股份有限公司,存续,101166万元人民币,-,-,深圳市光明区新湖街道新羌社区新陂头南2号602。,91440300192179585N,M(中型),1986-07-19,广东省,深圳市,罗湖区,xiexg603@163.com,spg@163.com,440301103225878,一般纳税人,上市股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,深圳市罗湖区南湖街道嘉北社区人民南路3005号深房广场A46层-A48层B46层-B48层,"深圳经济特区房地产总公司,
深圳经济特区房地产公司","Shenzhen Special Economic Zone Real Estate&Properties (Group). Co., Ltd.",一般经营项目是:房地产开发及商品房销售;进出口业务（按深府办[1994] 254号文及深贸发局深贸管审证字第 140号审定证书规定办）;楼宇管理、租赁、建筑设计。
深圳市中洲投资控股股份有限公司,SZ000042,深圳市中洲投资控股股份有限公司,存续,66483.1139万元人民币,0,2022年报,-,91440300192190768P,L(大型),1984-09-17,广东省,深圳市,福田区,121666636@qq.com,zzkg@zztzkg.com;dongshihui@zztzkg.com,440301103813177,一般纳税人,股份有限公司（上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,深圳市福田区福田街道岗厦社区金田路3088号中洲大厦3802,"深圳市长城投资控股股份有限公司,
深圳市长城地产（集团）股份有限公司,
深圳市长城地产股份有限公司,
深圳市长城房地产发展公司,
深圳市工程开发公司","Shenzhen Centralcon Investment Holding Co., Ltd.",一般经营项目是：房地产开发及商品房的销售、管理；承接建筑安装工程；自有物业租赁。
天津津滨发展股份有限公司,SZ000897,天津津滨发展股份有限公司,存续,161727.2234万元人民币,-,-,天津市南开区苍穹道15号,91120000712830811X,L(大型),1998-12-31,天津市,天津市,滨海新区,mayue@jbdc.com.cn,office@jbdc.com.cn,120000000005860,增值税一般纳税人,股份有限公司（上市）,批发和零售业,批发业,其他批发业,其他未列明批发业,房地产,房地产开发,住宅开发,-,天津开发区明园路2号B2别墅5号,-,"Tianjin Jinbin Development Co., Ltd.",房地产开发；食品销售（凭许可证开展经营活动）；自营或代理货物及技术的进出口。法律、法规、国务院决定禁止的，不得经营；应经审批的，未获批准前不得经营；法律、法规、国务院决定未规定审批的，自主经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
深圳市天健（集团）股份有限公司,SZ000090,深圳市天健(集团)股份有限公司,存续,186854.5434万元人民币,0,2022年报,-,91440300192251874W,L(大型),1993-12-06,广东省,深圳市,福田区,yangyuanyuan@tagen.cn,zhangaihua@tagen.cn;info@tagen.cn;info@tagn.cn,440301102748199,一般纳税人,上市股份有限公司,租赁和商务服务业,商务服务业,其他商务服务业,其他未列明商务服务业,房地产,房地产开发,住宅开发,-,深圳市福田区莲花街道紫荆社区红荔路7019号天健商务大厦19楼,深圳市天健实业股份有限公司,"Shenzhen Tagen Group Co., Ltd.",一般经营项目是：投资兴办工业实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专卖、专控商品）；开展对外经济技术合作业务（按中华人民共和国对外贸易经济合作部[2000]外经贸发展审函字第913号文规定办理）；自有物业租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：房地产开发经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
财信地产发展集团股份有限公司,SZ000838,财信地产发展集团股份有限公司,存续,110046.217万元人民币,0,2022年报,重庆市江北区红黄路1号26楼,911100002051092291,L(大型),1996-10-29,重庆市,重庆市,江北区,Casin@casindev.com,zhixin@casindev.com,500000011291272,增值税一般纳税人,股份有限公司（上市公司）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,重庆市江北区红黄路1号1幢24楼,"财信国兴地产发展股份有限公司,
国兴融达地产股份有限公司,
蓝星石化科技股份有限公司,
西南化机股份有限公司","CASIN Real Estate Development Group Co., Ltd.",一般项目：房地产开发；销售自行开发的商品房；污染治理设施运营；工程和技术研究。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
宁波富达股份有限公司,SH600724,宁波富达股份有限公司,存续,144524.1071万元人民币,15,2022年报,浙江省宁波市海曙区解放南路208号建设大厦18-19层,91330200704845351P,L(大型),1993-03-22,浙江省,宁波市,余姚市,fuda@fuda.com,zy@fuda.com,330200000029858,增值税一般纳税人,其他股份有限公司（上市）,制造业,电气机械和器材制造业,家用电力器具制造,家用清洁卫生电器具制造,原材料,非金属材料,建筑材料,水泥与混凝土,浙江省余姚市城区南雷南路2号余姚商会大厦1302室,宁波富达电器股份有限公司,Ningbo Fuda Company Limited,实业投资；自营和代理货物和技术的进出口，但国家限定经营或禁止进出口的货物和技术除外；计算机产品设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
鲁商福瑞达医药股份有限公司,SH600223,鲁商健康产业发展股份有限公司,在业,101656.8775万元人民币,0,2022年报,-,91370000267156215K,L(大型),1993-04-21,山东省,淄博市,博山区,xzggsw@lshfz.com.cn,lszybgs@163.com,370000018020768,增值税一般纳税人,股份有限公司（上市）,制造业,医药制造业,卫生材料及医药用品制造,卫生材料及医药用品制造,房地产,房地产开发,住宅开发,-,山东省博山经济开发区,"鲁商健康产业发展股份有限公司,
鲁商置业股份有限公司,
山东万杰高科技股份有限公司,
山东淄博万杰实业股份有限公司","Lushang Furida Pharmaceutical Co., Ltd.",一般项目：医学研究和试验发展；化妆品零售；化妆品批发；生物基材料制造；生物基材料销售；生物基材料技术研发；互联网销售（除销售需要许可的商品）；生物化工产品技术研发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；健康咨询服务（不含诊疗服务）；养老服务；护理机构服务（不含医疗服务）；以自有资金从事投资活动。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：药品生产；药品批发；药品互联网信息服务；药品委托生产；药品进出口；药品零售；化妆品生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
上海临港控股股份有限公司,SH600848,上海临港控股股份有限公司,存续,252248.7004万元人民币,27,2022年报,上海市浦东新区海港大道1515号创晶科技中心T2-8楼,913100001322046892,L(大型),1994-11-24,上海市,上海市,松江区,ir@lingangholding.com,ir@shlingang.com;jinying@shlingang.com;zhangxiaoyan@saic.sh.cn;renggei1206@126.com;saic3c@163.com,310000400099813,增值税一般纳税人,股份有限公司（中外合资、上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,产业地产,-,上海市松江区莘砖公路668号3层,上海自动化仪表股份有限公司,"Shanghai Lingang HOLDINGS Co., Ltd.",园区投资、开发和经营，自有房屋租赁，投资管理及咨询，科技企业孵化，企业管理咨询，经济信息咨询及服务（除经纪），物业管理，仓储（除危险品）。（涉及许可证管理、专项规定、质检、安检及相关行业资质要求的，需按照国家有关规定取得相应资质或许可后开展经营业务）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
绿地控股集团股份有限公司,SH600606,绿地控股集团股份有限公司,存续,1405421.8314万元人民币,0,2022年报,-,913100006311370032,L(大型),1992-07-08,上海市,上海市,黄浦区,wanghui@ldjt.com.cn,shjftz@shjftz.com.cn,310000000010224,增值税一般纳税人,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,住宅开发,-,上海市黄浦区打浦路700号,"上海金丰投资股份有限公司,
绿地控股股份有限公司,
上海嘉丰股份有限公司",Greenland Holdings Corporation Limited,实业投资，房地产开发经营、租赁、置换，住宅及基础设施配套建设，酒店管理，城市轨道交通工程，金融信息服务（不含金融业务），绿化工程，能源领域内的技术服务，汽车销售服务，物业管理。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
北京城建投资发展股份有限公司,SH600266,北京城建投资发展股份有限公司,存续,215469.4195万元人民币,125,2022年报,北京市朝阳区北土城西路11号,91110000633715698D,L(大型),1998-12-30,北京市,北京市,海淀区,info@bucid.com,wanglei@bucid.com,110000005200596,增值税一般纳税人,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,住宅开发,-,北京市海淀区大柳树富海中心2号楼14层,北京城建股份有限公司,"Beijing Urban Construction Investment & Development Co., Ltd.",房地产开发、销售商品房；投资及投资管理；销售金属材料、木材、建筑材料、机械电器设备；信息咨询（不含中介服务）；环保技术开发、技术服务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
上海亚通股份有限公司,SH600692,上海亚通股份有限公司,存续,35176.4064万元人民币,86,2022年报,上海市崇明区城桥镇鳌山路621号,91310000132221817R,M(中型),1993-10-14,上海市,上海市,崇明区,yt69692618@126.com,-,310000000024218,增值税一般纳税人,其他股份有限公司（上市）,交通运输、仓储和邮政业,水上运输业,水上旅客运输,内河旅客运输,房地产,房地产开发,住宅开发,-,崇明县八一路1号,-,"Shanghai Yatong Co., Ltd.",许可项目：房地产开发经营；建筑劳务分包；建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：金属材料销售；机械设备销售；汽车零配件零售；化工产品销售（不含许可类化工产品）；建筑装饰材料销售；木材销售；家具销售；五金产品零售；日用百货销售；汽车零配件批发；五金产品批发；信息咨询服务（不含许可类信息咨询服务）；工程管理服务；房地产经纪；物业管理；市场营销策划；企业形象策划；会议及展览服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；合同能源管理；光伏设备及元器件销售；新兴能源技术研发；普通机械设备安装服务；机械设备租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
天津海泰科技发展股份有限公司,SH600082,天津海泰科技发展股份有限公司,存续,64611.5826万元人民币,-,-,天津市华苑产业区海泰发展五道16号海泰创新基地CC座G七层,91120000732820119B,M(中型),1993-01-05,天津市,天津市,西青区,irm@hitech-develop.com,-,120000000003673,增值税一般纳税人,股份有限公司（上市）,租赁和商务服务业,-,-,-,房地产,房地产开发,产业地产,-,天津新技术产业园区华苑产业区,-,"TianJin Hi-Tech Development Co., Ltd.",向孵化高新技术成果和创业型科技企业、高新技术企业投资并进行产品的开发、生产；土地开发、房地产开发；技术开发、咨询、转让、服务（电子与信息、机电一体化、新材料、生物工程及制药、新能源和节能技术、环境科学和劳动保护、新型建筑材料、仪器仪表的技术及产品）；物业管理；管理信息咨询；商品及物资的批发兼零售；科技产品及技术进出口业务；易货贸易及转口贸易；保税仓储；限分支机构经营：货运（以上范围内国家有专营专项规定的按规定办理）。
卧龙资源集团股份有限公司,SH600173,卧龙地产集团股份有限公司,存续,70050.6244万元人民币,35,2022年报,-,91330000668325921R,L(大型),1993-07-17,浙江省,绍兴市,上虞区,wolong600173@wolong.com,wanghui1@wolong.com;yangjingjing@wolong.com,330000000008831,增值税一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,浙江省绍兴市上虞区经济开发区,"卧龙地产集团股份有限公司,
浙江卧龙地产股份有限公司,
黑龙江省牡丹江新材料科技股份有限公司,
牡丹江水泥股份有限公司","Wolong Resource Group Co., Ltd.",许可项目：房地产开发经营；建设工程施工；建设工程设计；住宅室内装饰装修（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。一般项目：工程管理服务；物业管理；建筑材料销售；高性能有色金属及合金材料销售；建筑装饰材料销售；机械设备销售；稀土功能材料销售；货物进出口；金属矿石销售；以自有资金从事投资活动（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
深圳华侨城股份有限公司,SZ000069,深圳华侨城股份有限公司,存续,820568.1415万元人民币,0,2022年报,-,91440300279374105B,L(大型),1997-09-02,广东省,深圳市,南山区,000069IR@chinaoct.com,-,440301103282083,一般纳税人,上市股份有限公司,租赁和商务服务业,商务服务业,其他商务服务业,其他未列明商务服务业,房地产,房地产开发,商业地产,-,深圳市南山区华侨城指挥部大楼103、105、107、111、112室,"深圳华侨城控股股份有限公司,
深圳华侨城实业发展股份有限公司","Shenzhen Overseas Chinese Town Co., Ltd.",一般经营项目是：旅游及其关联产业的投资和管理；房地产开发；自有物业租赁；酒店管理；文化活动的组织策划；会展策划；旅游项目策划；旅游信息咨询；旅游工艺品的销售；投资兴办实业（具体项目另行申报）；国内商业（不含专营、专控、专卖商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。
美好置业集团股份有限公司,SZ000667,美好置业集团股份有限公司,存续,246698.8633万元人民币,6,2022年报,-,9153000021665904XL,L(大型),1996-10-17,云南省,昆明市,盘龙区,mhzy@000667.com,lirq@000667.com;ir@000667.com,530000000006503,增值税一般纳税人,股份有限公司（非上市、自然人投资或控股）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,住宅开发,-,云南省昆明市盘龙区北京路与联盟路交叉口卓越俊园10栋2单元2317室,"名流置业集团股份有限公司,
昆明五华实业（集团）股份有限公司,
云南华一投资集团股份有限公司","Myhome Real Estate Development Group Co., Ltd.",许可项目：房地产开发经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：企业管理咨询；以自有资金从事投资活动；信息咨询服务（不含许可类信息咨询服务）；住房租赁；非居住房地产租赁；土地使用权租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
阳光新业地产股份有限公司,SZ000608,阳光新业地产股份有限公司,存续,74991.3309万元人民币,0,2022年报,深圳市深南东路5016号京基一百大厦A座6901-01A单元,91450000200538358N,M(中型),1996-06-07,广西壮族自治区,南宁市,江南区,yangguangxinye@yangguangxinye.com,yangguangxinye@yangguagnxinye.com,450000400001362,增值税一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,商业地产,-,南宁市江南路230号南宁经济技术开发区,"广西阳光股份有限公司,
广西虎威股份有限公司","Yang Guang Co., Ltd.",房地产开发经营；装修装饰工程；自有商品房的租赁；房地产开发的法律、法规和政策的咨询服务；商业管理服务。（法律、法规禁止的项目除外，法律、法规限制的项目取得许可后方可开展经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
广州珠江发展集团股份有限公司,SH600684,广州珠江实业开发股份有限公司,在业,85346.0723万元人民币,161,2022年报,广州市越秀区东风中路362号颐德中心30楼,9144010119048157XD,L(大型),1992-12-23,广东省,广州市,越秀区,gzzjsy@gzzjsy.com,-,440101000083068,增值税一般纳税人,股份有限公司（上市、国有控股）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,广州市越秀区环市东路371-375号世界贸易中心大厦南塔11楼S1101-05、S1118-24房,"广州珠江实业开发股份有限公司,
广州珠江房产公司,
广州珠江外资建设总公司房产公司","Guangzhou Pearl River Development Group Co., Ltd.",非居住房地产租赁;住房租赁;物业管理;以自有资金从事投资活动;土地使用权租赁;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;工程管理服务;工程技术服务（规划管理、勘察、设计、监理除外）;酒店管理;工程和技术研究和试验发展;环保咨询服务;土壤污染治理与修复服务;土壤环境污染防治服务;停车场服务;招投标代理服务;城市绿化管理;会议及展览服务;租赁服务（不含许可类租赁服务）;信息咨询服务（不含许可类信息咨询服务）;体育竞赛组织;社会经济咨询服务;文化场馆管理服务;劳务服务（不含劳务派遣）;房地产开发经营;建设工程施工;高危险性体育运动（游泳）
信达地产股份有限公司,SH600657,信达地产股份有限公司,存续,285187.8595万元人民币,138,2022年报,北京市海淀区中关村南大街甲18号北京国际大A座10层,911100001015301828,L(大型),1984-07-20,北京市,北京市,东城区,zonghebu@cinda.com.cn,zongban_dc@cinda.com.cn;zonghebu_dc@cinda.com.cn,110000001004991,增值税一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,北京市东城区永内大街1号,"北京天桥北大青鸟科技股份有限公司,
北京市天桥百货股份有限公司","Cinda Real Estate Co., Ltd.",房地产开发；投资及投资管理；物业管理；企业管理咨询；销售建筑材料。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
中润资源投资股份有限公司,SZ000506,中润资源投资股份有限公司,在业,92901.7761万元人民币,16,2022年报,-,91370000206951100B,L(大型),1988-05-11,山东省,济南市,历下区,1070228474@qq.com,805521184@qq.com;zrky_lq@163.com;zyky_lq@163.com,370000000000068,增值税一般纳税人,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,住宅开发,-,济南市经十路13777号中润世纪广场17栋,"四川峨眉集团股份有限公司,
四川峨眉山盐化工业（集团）股份有限公司,
山东惠邦地产股份有限公司,
山东中润投资控股集团股份有限公司",Zhongrun Resources Investment Corporation,矿产资源勘探、开发投资；矿产品加工、销售；房屋销售、租赁；公司股权投资。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
